LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
AUT,CPI,TOT,AGRWTH,M,2020-03,1.53,Austria
AUT,CPI,TOT,AGRWTH,M,2020-04,1.44,Austria
AUT,CPI,TOT,AGRWTH,M,2020-05,0.64,Austria
AUT,CPI,TOT,AGRWTH,M,2020-06,1.05,Austria
AUT,CPI,TOT,AGRWTH,M,2020-07,1.64,Austria
AUT,CPI,TOT,AGRWTH,M,2020-08,1.34,Austria
AUT,CPI,TOT,AGRWTH,M,2020-09,1.27,Austria
AUT,CPI,TOT,AGRWTH,M,2020-10,1.28,Austria
AUT,CPI,TOT,AGRWTH,M,2020-11,1.19,Austria
AUT,CPI,TOT,AGRWTH,M,2020-12,1.14,Austria
AUT,CPI,TOT,AGRWTH,M,2021-01,0.8,Austria
AUT,CPI,TOT,AGRWTH,M,2021-02,1.2,Austria
AUT,CPI,TOT,AGRWTH,M,2021-03,2.0,Austria
AUT,CPI,TOT,AGRWTH,M,2021-04,1.9,Austria
AUT,CPI,TOT,AGRWTH,M,2021-05,2.82,Austria
AUT,CPI,TOT,AGRWTH,M,2021-06,2.81,Austria
AUT,CPI,TOT,AGRWTH,M,2021-07,2.9,Austria
AUT,CPI,TOT,AGRWTH,M,2021-08,3.21,Austria
AUT,CPI,TOT,AGRWTH,M,2021-09,3.29,Austria
AUT,CPI,TOT,AGRWTH,M,2021-10,3.69,Austria
AUT,CPI,TOT,AGRWTH,M,2021-11,4.28,Austria
AUT,CPI,TOT,AGRWTH,M,2021-12,4.25,Austria
AUT,CPI,TOT,AGRWTH,M,2022-01,4.99,Austria
AUT,CPI,TOT,AGRWTH,M,2022-02,5.75,Austria
AUT,CPI,TOT,AGRWTH,M,2022-03,6.77,Austria
AUT,CPI,TOT,AGRWTH,M,2022-04,7.17,Austria
AUT,CPI,TOT,AGRWTH,M,2022-05,7.74,Austria
AUT,CPI,TOT,AGRWTH,M,2022-06,8.67,Austria
AUT,CPI,TOT,AGRWTH,M,2022-07,9.43,Austria
AUT,CPI,TOT,AGRWTH,M,2022-08,9.32,Austria
BEL,CPI,TOT,AGRWTH,M,2010-01,0.62,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-02,0.7,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-03,1.65,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-04,1.79,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-05,2.28,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-06,2.46,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-07,2.57,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-08,2.32,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-09,2.91,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-10,3.01,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-11,2.87,Belgium
BEL,CPI,TOT,AGRWTH,M,2010-12,3.11,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-01,3.22,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-02,3.38,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-03,3.52,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-04,3.41,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-05,3.35,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-06,3.68,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-07,3.75,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-08,3.6,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-09,3.56,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-10,3.57,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-11,3.85,Belgium
BEL,CPI,TOT,AGRWTH,M,2011-12,3.48,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-01,3.65,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-02,3.66,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-03,3.36,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-04,3.19,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-05,2.81,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-06,2.25,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-07,2.32,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-08,2.85,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-09,2.75,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-10,2.78,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-11,2.26,Belgium
BEL,CPI,TOT,AGRWTH,M,2012-12,2.23,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-01,1.46,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-02,1.19,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-03,1.11,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-04,1.0,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-05,1.18,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-06,1.59,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-07,1.51,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-08,1.01,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-09,0.9,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-10,0.63,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-11,0.81,Belgium
BEL,CPI,TOT,AGRWTH,M,2013-12,0.97,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-01,1.14,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-02,0.97,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-03,0.89,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-04,0.62,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-05,0.36,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-06,0.27,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-07,0.34,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-08,0.02,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-09,-0.12,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-10,0.09,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-11,-0.11,Belgium
BEL,CPI,TOT,AGRWTH,M,2014-12,-0.38,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-01,-0.65,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-02,-0.4,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-03,-0.4,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-04,0.29,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-05,0.56,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-06,0.63,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-07,0.46,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-08,0.91,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-09,1.06,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-10,1.28,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-11,1.52,Belgium
BEL,CPI,TOT,AGRWTH,M,2015-12,1.5,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-01,1.74,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-02,1.39,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-03,2.24,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-04,2.04,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-05,2.2,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-06,2.16,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-07,2.28,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-08,2.16,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-09,1.87,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-10,1.81,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-11,1.77,Belgium
BEL,CPI,TOT,AGRWTH,M,2016-12,2.03,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-01,2.65,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-02,2.97,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-03,2.28,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-04,2.28,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-05,1.86,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-06,1.6,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-07,1.78,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-08,1.9,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-09,2.01,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-10,2.0,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-11,2.07,Belgium
BEL,CPI,TOT,AGRWTH,M,2017-12,2.13,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-01,1.71,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-02,1.48,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-03,1.39,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-04,1.52,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-05,1.82,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-06,2.08,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-07,2.17,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-08,2.24,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-09,2.35,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-10,2.75,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-11,2.78,Belgium
BEL,CPI,TOT,AGRWTH,M,2018-12,2.34,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-01,1.99,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-02,2.17,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-03,2.33,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-04,2.08,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-05,1.89,Belgium
BEL,CPI,TOT,AGRWTH,M,2019-06,1.73,Belgium
